Status;Distance Macro;Distance Micro;Magnitude Macro;Magnitude Micro;
2;0;412;0;584;
2;0;412;0;584;
2;0;421;0;424;
2;0;423;0;930;
2;0;425;0;862;
2;0;428;0;714;
2;0;428;0;622;
2;0;428;0;622;
2;0;425;0;912;
2;0;421;0;1048;
2;0;418;0;895;
2;0;418;0;895;
2;0;417;0;476;
2;0;416;0;758;
2;0;415;0;711;
2;0;414;0;433;
2;0;414;0;433;
2;0;414;0;479;
2;0;415;0;459;
2;0;415;0;459;
2;0;416;0;1095;
2;0;414;0;1552;
2;0;411;0;1402;
2;0;408;0;779;
2;0;408;0;415;
2;0;408;0;761;
2;0;411;0;1331;
2;0;412;0;935;
2;0;413;0;824;
2;0;414;0;820;
2;0;414;0;729;
2;0;418;0;713;
2;0;417;0;911;
2;0;418;0;912;
2;0;418;0;598;
2;0;418;0;598;
2;0;421;0;513;
2;0;421;0;513;
2;0;421;0;513;
2;0;420;0;749;
2;0;421;0;941;
2;0;423;0;1086;
2;0;423;0;1018;
2;0;421;0;876;
2;0;415;0;810;
2;0;416;0;1554;
2;0;418;0;1921;
2;0;421;0;2074;
2;0;424;0;2309;
2;0;428;0;2325;
2;0;430;0;2606;
2;0;429;0;2804;
2;0;424;0;2700;
2;0;419;0;1129;
2;0;415;0;2134;
2;0;409;0;2894;
2;0;406;0;2143;
2;0;403;0;1002;
2;0;401;0;1712;
2;0;398;0;1358;
2;0;397;0;1190;
2;0;396;0;2098;
2;0;396;0;2534;
2;0;397;0;2658;
2;0;396;0;1321;
2;0;395;0;682;
2;0;397;0;2709;
2;0;399;0;2359;
2;0;401;0;1437;
2;0;404;0;856;
2;0;395;0;2043;
2;0;393;0;1455;
2;0;387;0;703;
2;0;386;0;900;
2;0;386;0;1418;
2;0;386;0;1418;
2;0;379;0;1059;
2;0;376;0;740;
2;0;375;0;1342;
2;0;378;0;1371;
2;0;382;0;2255;
2;0;383;0;1293;
2;0;386;0;2238;
2;0;392;0;2032;
2;0;397;0;2112;
2;0;402;0;1127;
2;0;404;0;1106;
2;0;403;0;764;
2;0;406;0;1472;
2;0;405;0;953;
2;0;409;0;1956;
2;0;411;0;1285;
2;0;410;0;1896;
2;0;409;0;867;
2;0;411;0;538;
2;0;411;0;1833;
2;0;417;0;1506;
2;0;420;0;1310;
2;0;423;0;2184;
2;0;423;0;1399;
2;0;429;0;1125;
2;0;429;0;1036;
2;0;427;0;2922;
2;0;419;0;1279;
2;0;418;0;1016;
2;0;419;0;1042;
2;0;416;0;1702;
2;0;415;0;2227;
2;0;414;0;3613;
2;0;417;0;2579;
2;0;415;0;3569;
2;0;414;0;2028;
2;0;418;0;2337;
2;0;419;0;1843;
2;0;416;0;1869;
2;0;416;0;762;
2;0;417;0;642;
2;0;417;0;1023;
2;0;419;0;2386;
2;0;416;0;1081;
2;0;410;0;1418;
2;0;403;0;2216;
2;0;401;0;1296;
2;0;399;0;1308;
2;0;399;0;1596;
2;0;400;0;1780;
2;0;403;0;1656;
2;0;410;0;1851;
2;0;413;0;2196;
2;0;415;0;2536;
2;0;415;0;1794;
2;0;415;0;968;
2;0;416;0;1362;
2;0;418;0;2128;
2;0;420;0;1401;
2;0;421;0;1283;
1;467;0;302;0;
1;481;0;178;0;
1;485;0;279;0;
1;506;0;398;0;
1;536;0;274;0;
1;541;0;126;0;
1;543;0;208;0;
1;543;0;153;0;
1;545;0;145;0;
1;545;0;145;0;
1;547;0;293;0;
1;547;0;293;0;
1;546;0;160;0;
1;554;0;165;0;
1;556;0;195;0;
1;554;0;208;0;
1;551;0;206;0;
1;553;0;195;0;
1;557;0;159;0;
1;557;0;159;0;
1;553;0;216;0;
1;553;0;216;0;
1;548;0;266;0;
1;538;0;221;0;
1;533;0;125;0;
1;533;0;125;0;
1;533;0;125;0;
1;533;0;125;0;
1;531;0;149;0;
1;530;0;240;0;
1;528;0;121;0;
1;528;0;121;0;
1;523;0;271;0;
1;522;0;317;0;
1;527;0;179;0;
1;527;0;244;0;
1;515;0;298;0;
1;508;0;521;0;
1;496;0;452;0;
1;483;0;255;0;
1;477;0;446;0;
1;469;0;199;0;
1;462;0;401;0;
1;456;0;312;0;
1;454;0;290;0;
1;452;0;246;0;
1;448;0;300;0;
1;447;0;373;0;
1;448;0;285;0;
1;448;0;301;0;
1;443;0;421;0;
1;439;0;447;0;
1;437;0;498;0;
1;431;0;182;0;
1;420;0;549;0;
1;412;0;346;0;
1;412;0;346;0;
1;411;0;570;0;
1;399;0;602;0;
1;388;0;475;0;
1;387;0;367;0;
1;376;0;444;0;
1;377;0;315;0;
1;378;0;206;0;
1;374;0;301;0;
1;374;0;301;0;
1;376;0;375;0;
1;374;0;306;0;
1;365;0;505;0;
1;349;0;492;0;
1;330;0;1498;0;
1;315;0;1671;0;
1;311;0;539;0;
1;299;0;892;0;
1;290;0;1176;0;
1;288;0;822;0;
1;287;0;801;0;
1;287;0;688;0;
1;284;0;577;0;
1;279;0;765;0;
1;278;0;778;0;
1;275;0;1180;0;
1;268;0;1323;0;
1;265;0;786;0;
1;265;0;498;0;
1;265;0;498;0;
1;266;0;931;0;
1;266;0;984;0;
1;262;0;2731;0;
1;253;0;3087;0;
1;247;0;2428;0;
1;243;0;931;0;
1;239;0;2021;0;
1;234;0;1301;0;
1;230;0;2026;0;
1;230;0;2565;0;
1;228;0;1920;0;
1;228;0;3026;0;
1;225;0;1508;0;
1;224;0;1629;0;
1;224;0;1598;0;
1;228;0;723;0;
1;230;0;1673;0;
1;234;0;1460;0;
1;237;0;1363;0;
1;238;0;1848;0;
1;237;0;2629;0;
1;237;0;2764;0;
1;232;0;2532;0;
1;228;0;5485;0;
1;226;0;4480;0;
1;225;0;3487;0;
1;226;0;3550;0;
1;226;0;4068;0;
1;227;0;5008;0;
1;225;0;5522;0;
1;225;0;2185;0;
1;224;0;2650;0;
1;224;0;3762;0;
1;222;0;4433;0;
1;220;0;2812;0;
1;220;0;2116;0;
1;218;0;1694;0;
1;217;0;2196;0;
1;216;0;895;0;
1;214;0;1638;0;
1;213;0;1535;0;
1;212;0;1078;0;
1;211;0;1206;0;
1;208;0;4085;0;
1;205;0;3100;0;
1;202;0;2320;0;
1;200;0;1314;0;
1;200;0;1314;0;
1;197;0;1783;0;
1;194;0;1406;0;
1;192;0;1593;0;
1;192;0;1593;0;
1;192;0;1593;0;
1;189;0;3156;0;
1;184;0;5094;0;
1;179;0;2155;0;
1;172;0;4204;0;
1;167;0;2360;0;
1;161;0;5836;0;
1;157;0;4196;0;
1;154;0;2727;0;
1;154;0;1264;0;
1;149;0;3825;0;
1;144;0;5298;0;
1;139;0;5370;0;
1;135;0;9375;0;
1;131;0;3668;0;
1;128;0;4217;0;
1;128;0;4276;0;
1;124;0;5272;0;
1;121;0;4918;0;
1;118;0;1225;0;
1;117;0;1768;0;
1;117;0;1577;0;
1;114;0;795;0;
1;115;0;720;0;
1;116;0;808;0;
1;119;0;603;0;
1;122;0;880;0;
1;122;0;643;0;
1;123;0;685;0;
1;125;0;2444;0;
1;126;0;2653;0;
1;124;0;3642;0;
1;122;0;2466;0;
1;119;0;4840;0;
1;117;0;4730;0;
1;118;0;10562;0;
1;119;0;18412;0;
1;122;0;6609;0;
1;125;0;8442;0;
1;127;0;5514;0;
1;129;0;7491;0;
1;130;0;6503;0;
1;133;0;9461;0;
1;136;0;11511;0;
1;138;0;14939;0;
1;141;0;7075;0;
1;142;0;8049;0;
1;143;0;3461;0;
1;143;0;1395;0;
1;145;0;1942;0;
1;144;0;1987;0;
1;147;0;4002;0;
1;149;0;2507;0;
1;153;0;2708;0;
1;160;0;2747;0;
1;166;0;3628;0;
1;172;0;2314;0;
1;179;0;1711;0;
1;183;0;5030;0;
1;184;0;2874;0;
1;185;0;1245;0;
1;186;0;1478;0;
1;189;0;1604;0;
1;192;0;3209;0;
1;195;0;4043;0;
1;197;0;7665;0;
1;200;0;3013;0;
1;201;0;1696;0;
1;202;0;5458;0;
1;203;0;2167;0;
1;206;0;3021;0;
1;208;0;901;0;
1;210;0;1519;0;
1;214;0;2645;0;
1;219;0;5980;0;
1;222;0;4601;0;
1;223;0;5122;0;
1;224;0;9518;0;
1;225;0;3082;0;
1;226;0;2836;0;
1;227;0;1449;0;
1;230;0;3734;0;
1;231;0;1747;0;
1;232;0;797;0;
1;235;0;3221;0;
1;234;0;3049;0;
1;235;0;1755;0;
1;237;0;2432;0;
1;237;0;5203;0;
1;238;0;3384;0;
1;237;0;1996;0;
1;235;0;3297;0;
1;235;0;3713;0;
1;232;0;1046;0;
1;231;0;1605;0;
1;234;0;1142;0;
1;233;0;3181;0;
1;233;0;1529;0;
1;234;0;1804;0;
1;234;0;2072;0;
1;234;0;955;0;
1;235;0;1814;0;
1;236;0;745;0;
1;241;0;1671;0;
1;242;0;2107;0;
1;244;0;1379;0;
1;248;0;1651;0;
1;267;0;2932;0;
1;278;0;950;0;
1;285;0;770;0;
1;283;0;730;0;
1;284;0;864;0;
1;286;0;553;0;
1;290;0;1014;0;
1;275;0;1844;0;
1;270;0;905;0;
1;271;0;2003;0;
1;276;0;497;0;
1;278;0;390;0;
1;282;0;751;0;
1;287;0;639;0;
1;293;0;692;0;
1;299;0;590;0;
1;304;0;1036;0;
1;307;0;1050;0;
1;311;0;731;0;
1;313;0;701;0;
1;315;0;375;0;
1;316;0;332;0;
1;319;0;312;0;
1;324;0;331;0;
1;324;0;331;0;
1;328;0;426;0;
1;336;0;339;0;
1;339;0;222;0;
1;346;0;716;0;
1;350;0;213;0;
1;354;0;337;0;
1;354;0;337;0;
1;364;0;454;0;
1;364;0;454;0;
1;377;0;263;0;
1;377;0;263;0;
1;381;0;130;0;
1;382;0;199;0;
1;382;0;199;0;
1;382;0;196;0;
1;389;0;197;0;
1;392;0;185;0;
1;392;0;185;0;
1;396;0;186;0;
1;403;0;236;0;
1;403;0;236;0;
1;403;0;236;0;
1;403;0;236;0;
2;0;411;0;1879;
1;439;0;202;0;
1;468;0;310;0;
1;475;0;134;0;
1;484;0;134;0;
1;492;0;188;0;
1;492;0;188;0;
1;492;0;188;0;
1;515;0;152;0;
1;527;0;237;0;
1;534;0;314;0;
1;549;0;204;0;
1;543;0;278;0;
1;546;0;160;0;
1;543;0;252;0;
1;520;0;339;0;
1;516;0;330;0;
1;510;0;289;0;
1;510;0;289;0;
1;489;0;314;0;
1;489;0;150;0;
1;491;0;147;0;
1;491;0;143;0;
1;491;0;143;0;
1;491;0;143;0;
1;491;0;143;0;
1;491;0;143;0;
1;491;0;143;0;
2;0;423;0;1402;
2;0;418;0;1687;
2;0;411;0;1691;
2;0;417;0;933;
2;0;418;0;1515;
2;0;413;0;2032;
2;0;411;0;838;
2;0;406;0;1204;
2;0;404;0;2012;
2;0;399;0;1845;
2;0;393;0;940;
2;0;393;0;940;
2;0;393;0;940;
2;0;392;0;1475;
2;0;391;0;1808;
2;0;391;0;2448;
2;0;395;0;2091;
2;0;401;0;1711;
2;0;408;0;2821;
2;0;412;0;3909;
2;0;412;0;2777;
2;0;411;0;1871;
2;0;410;0;828;
2;0;411;0;1644;
2;0;409;0;2025;
2;0;409;0;1954;
2;0;410;0;1062;
2;0;410;0;1062;
2;0;411;0;1093;
2;0;416;0;1853;
2;0;416;0;1916;
