Status;Distance Macro;Distance Micro;Magnitude Macro;Magnitude Micro;
1;80;0;359;0;
1;77;0;380;0;
2;0;424;0;2833;
2;0;425;0;1346;
2;0;426;0;1504;
2;0;429;0;1991;
2;0;426;0;1343;
2;0;424;0;994;
2;0;424;0;1137;
2;0;423;0;1012;
2;0;421;0;1000;
2;0;422;0;816;
2;0;422;0;816;
2;0;421;0;896;
2;0;421;0;1098;
2;0;417;0;1335;
2;0;415;0;1478;
2;0;420;0;1729;
2;0;422;0;757;
2;0;421;0;2010;
2;0;420;0;1435;
2;0;417;0;2274;
2;0;417;0;1409;
2;0;418;0;1889;
2;0;413;0;1834;
2;0;408;0;3108;
2;0;408;0;2134;
2;0;409;0;1666;
2;0;409;0;1414;
2;0;409;0;1414;
2;0;407;0;1382;
2;0;408;0;2358;
2;0;410;0;1584;
2;0;408;0;1590;
2;0;409;0;1603;
2;0;407;0;1564;
2;0;410;0;1175;
2;0;414;0;1737;
2;0;415;0;1634;
2;0;418;0;801;
2;0;417;0;709;
2;0;417;0;709;
2;0;417;0;709;
2;0;418;0;1503;
2;0;414;0;1403;
2;0;415;0;677;
2;0;414;0;1614;
2;0;413;0;1208;
2;0;410;0;2306;
2;0;406;0;2122;
2;0;406;0;2122;
2;0;403;0;1855;
2;0;396;0;1867;
2;0;387;0;1522;
2;0;393;0;4562;
2;0;395;0;3827;
2;0;395;0;1911;
2;0;394;0;2083;
2;0;403;0;2167;
2;0;413;0;2581;
2;0;419;0;2040;
2;0;419;0;2157;
1;298;0;228;0;
1;297;0;389;0;
1;257;0;892;0;
1;197;0;481;0;
1;164;0;673;0;
1;104;0;1647;0;
1;89;0;1354;0;
1;85;0;1187;0;
1;86;0;443;0;
1;86;0;1555;0;
1;86;0;911;0;
1;85;0;2095;0;
1;84;0;1194;0;
1;82;0;395;0;
1;83;0;1152;0;
1;81;0;916;0;
1;82;0;1399;0;
1;81;0;1685;0;
1;83;0;1850;0;
1;83;0;1682;0;
1;86;0;2059;0;
1;87;0;968;0;
1;87;0;1832;0;
1;88;0;1622;0;
1;87;0;898;0;
1;88;0;795;0;
1;88;0;547;0;
1;89;0;1529;0;
1;89;0;1414;0;
1;87;0;521;0;
1;88;0;2367;0;
1;87;0;729;0;
1;86;0;1449;0;
1;86;0;1071;0;
1;86;0;285;0;
1;85;0;821;0;
1;82;0;1436;0;
1;81;0;716;0;
1;83;0;1703;0;
1;82;0;896;0;
1;87;0;670;0;
1;85;0;920;0;
1;84;0;703;0;
1;84;0;682;0;
1;86;0;1491;0;
1;86;0;1617;0;
1;86;0;1041;0;
1;86;0;902;0;
1;83;0;776;0;
1;82;0;2095;0;
1;82;0;1205;0;
1;81;0;405;0;
1;80;0;620;0;
1;79;0;1776;0;
1;79;0;1060;0;
1;82;0;1435;0;
1;82;0;502;0;
1;81;0;1114;0;
1;82;0;2122;0;
1;84;0;1135;0;
1;86;0;753;0;
1;86;0;1964;0;
1;88;0;882;0;
1;87;0;2801;0;
1;89;0;1504;0;
1;89;0;2229;0;
1;88;0;405;0;
1;89;0;765;0;
1;88;0;2464;0;
1;87;0;916;0;
1;87;0;1307;0;
1;87;0;2582;0;
1;87;0;485;0;
1;86;0;1267;0;
1;85;0;1523;0;
1;86;0;1388;0;
1;86;0;2222;0;
1;86;0;2173;0;
1;84;0;1443;0;
1;84;0;1626;0;
1;85;0;966;0;
1;84;0;547;0;
1;85;0;1711;0;
1;84;0;2892;0;
1;85;0;1860;0;
1;84;0;1306;0;
1;85;0;417;0;
1;85;0;768;0;
1;84;0;1269;0;
1;85;0;1512;0;
1;84;0;1440;0;
1;85;0;912;0;
1;82;0;809;0;
1;81;0;2357;0;
1;80;0;1004;0;
1;81;0;1267;0;
1;80;0;1395;0;
1;80;0;959;0;
1;81;0;2711;0;
1;83;0;1693;0;
1;86;0;2966;0;
1;86;0;2966;0;
1;87;0;1598;0;
1;90;0;2085;0;
1;90;0;2476;0;
1;90;0;1476;0;
1;90;0;2720;0;
1;89;0;1433;0;
1;87;0;1358;0;
1;86;0;3435;0;
1;85;0;899;0;
1;85;0;2907;0;
1;85;0;1743;0;
1;85;0;1055;0;
1;85;0;852;0;
1;86;0;1317;0;
1;90;0;3837;0;
1;89;0;2538;0;
1;87;0;3295;0;
1;86;0;2839;0;
1;87;0;2910;0;
1;87;0;1057;0;
1;83;0;1413;0;
1;83;0;989;0;
1;81;0;2069;0;
1;82;0;1498;0;
1;82;0;1351;0;
1;83;0;3277;0;
1;82;0;2321;0;
1;84;0;295;0;
1;85;0;1559;0;
1;87;0;2754;0;
1;88;0;1317;0;
1;87;0;633;0;
1;86;0;1833;0;
1;85;0;1691;0;
1;87;0;2361;0;
1;85;0;2312;0;
1;85;0;1038;0;
1;85;0;1674;0;
1;86;0;648;0;
1;86;0;1753;0;
1;87;0;3052;0;
1;84;0;2643;0;
1;85;0;3599;0;
1;87;0;1515;0;
1;86;0;2607;0;
1;86;0;2791;0;
1;84;0;1387;0;
1;84;0;1470;0;
1;85;0;2690;0;
1;85;0;1230;0;
1;84;0;2538;0;
1;83;0;2305;0;
1;82;0;3145;0;
1;85;0;3949;0;
1;86;0;1631;0;
1;87;0;885;0;
1;84;0;1470;0;
1;84;0;1410;0;
1;86;0;2241;0;
1;87;0;643;0;
1;86;0;1182;0;
1;86;0;1752;0;
1;87;0;1189;0;
1;87;0;2066;0;
1;89;0;2617;0;
1;89;0;1972;0;
1;89;0;1183;0;
1;89;0;2357;0;
1;87;0;3426;0;
1;88;0;1587;0;
1;88;0;1924;0;
1;87;0;1211;0;
1;87;0;1822;0;
1;86;0;2116;0;
1;86;0;1072;0;
1;86;0;650;0;
1;86;0;1471;0;
1;84;0;1308;0;
1;86;0;2862;0;
1;85;0;1690;0;
1;87;0;2019;0;
1;88;0;2762;0;
1;87;0;927;0;
1;89;0;3331;0;
1;89;0;810;0;
1;87;0;639;0;
1;88;0;3456;0;
1;86;0;1872;0;
1;84;0;1391;0;
1;83;0;1120;0;
1;83;0;1677;0;
1;83;0;1140;0;
1;86;0;1093;0;
1;86;0;3036;0;
1;81;0;4553;0;
1;86;0;1613;0;
1;89;0;1897;0;
1;88;0;2643;0;
1;87;0;2937;0;
1;86;0;1568;0;
1;86;0;1568;0;
1;84;0;1086;0;
1;83;0;1704;0;
1;86;0;1842;0;
1;87;0;1049;0;
1;88;0;1320;0;
1;87;0;1900;0;
1;85;0;1969;0;
1;86;0;1411;0;
1;88;0;1575;0;
1;89;0;1478;0;
1;88;0;1587;0;
1;88;0;1762;0;
1;87;0;2439;0;
1;87;0;876;0;
1;88;0;2662;0;
1;87;0;1180;0;
1;86;0;2557;0;
1;85;0;2652;0;
1;84;0;2255;0;
1;84;0;1339;0;
1;83;0;1668;0;
1;83;0;991;0;
1;83;0;1191;0;
1;86;0;2161;0;
1;85;0;1949;0;
1;84;0;716;0;
1;85;0;2114;0;
1;88;0;2094;0;
1;88;0;3146;0;
1;88;0;2216;0;
1;87;0;3068;0;
1;86;0;1780;0;
1;86;0;1127;0;
1;88;0;1248;0;
1;88;0;3978;0;
1;87;0;2790;0;
1;87;0;2031;0;
1;89;0;2844;0;
1;89;0;3011;0;
1;87;0;2500;0;
1;88;0;1811;0;
1;88;0;3165;0;
1;85;0;1638;0;
1;86;0;2633;0;
1;87;0;2128;0;
1;93;0;2617;0;
1;99;0;3266;0;
1;109;0;1743;0;
1;109;0;1395;0;
1;111;0;2646;0;
1;116;0;1917;0;
1;137;0;2874;0;
1;137;0;2847;0;
1;141;0;3325;0;
1;127;0;1971;0;
1;128;0;2352;0;
1;117;0;2833;0;
1;113;0;1284;0;
1;120;0;3850;0;
1;133;0;1439;0;
1;133;0;2186;0;
1;125;0;2495;0;
1;126;0;2015;0;
1;126;0;2275;0;
1;132;0;2449;0;
1;149;0;2443;0;
1;149;0;2443;0;
1;150;0;2366;0;
1;148;0;1578;0;
1;151;0;2942;0;
1;170;0;6070;0;
1;176;0;4469;0;
1;193;0;4477;0;
1;190;0;1464;0;
1;190;0;1354;0;
1;172;0;2201;0;
1;163;0;2726;0;
1;151;0;2856;0;
1;134;0;976;0;
1;113;0;3706;0;
1;96;0;2827;0;
1;96;0;2827;0;
1;85;0;2796;0;
1;87;0;2800;0;
1;87;0;2964;0;
1;88;0;3972;0;
1;87;0;1794;0;
1;85;0;2101;0;
1;85;0;1101;0;
1;85;0;1994;0;
1;94;0;4541;0;
1;100;0;4387;0;
1;109;0;4269;0;
1;114;0;2787;0;
1;113;0;4408;0;
1;120;0;1315;0;
1;130;0;3480;0;
1;133;0;3481;0;
1;130;0;3548;0;
1;129;0;2883;0;
1;127;0;11040;0;
1;119;0;12011;0;
1;110;0;7342;0;
1;109;0;4938;0;
1;111;0;6375;0;
1;111;0;7600;0;
1;109;0;3645;0;
1;109;0;2835;0;
1;107;0;1510;0;
1;105;0;3879;0;
1;102;0;2919;0;
1;100;0;2001;0;
1;97;0;3214;0;
1;99;0;3414;0;
1;100;0;7635;0;
1;101;0;13373;0;
1;104;0;12597;0;
1;104;0;5348;0;
1;106;0;10353;0;
1;106;0;3111;0;
1;109;0;9598;0;
1;110;0;3100;0;
1;110;0;3620;0;
1;117;0;3461;0;
1;115;0;1386;0;
1;114;0;2851;0;
1;123;0;2894;0;
1;117;0;1814;0;
1;118;0;1304;0;
1;119;0;2247;0;
1;112;0;1766;0;
1;118;0;3036;0;
1;129;0;2201;0;
1;130;0;2926;0;
1;133;0;2154;0;
1;134;0;4393;0;
1;146;0;6080;0;
1;150;0;4715;0;
1;150;0;1066;0;
1;146;0;4339;0;
1;142;0;1385;0;
1;146;0;4054;0;
1;156;0;3413;0;
1;153;0;1303;0;
1;155;0;1731;0;
1;159;0;5313;0;
1;180;0;3331;0;
1;168;0;1467;0;
1;157;0;1775;0;
1;153;0;3531;0;
1;146;0;1181;0;
1;151;0;4298;0;
1;161;0;4247;0;
1;151;0;4293;0;
1;146;0;2373;0;
1;156;0;2311;0;
1;185;0;4475;0;
1;185;0;2817;0;
1;200;0;2796;0;
1;194;0;2538;0;
1;173;0;1331;0;
1;160;0;3529;0;
1;169;0;2775;0;
1;168;0;5018;0;
1;161;0;3143;0;
1;140;0;987;0;
1;139;0;1941;0;
1;131;0;1821;0;
1;151;0;2957;0;
1;142;0;2906;0;
1;159;0;2533;0;
1;130;0;801;0;
1;129;0;2124;0;
1;130;0;3960;0;
1;136;0;2153;0;
1;128;0;1854;0;
1;118;0;3856;0;
1;116;0;2944;0;
1;109;0;1766;0;
1;97;0;1990;0;
1;94;0;1598;0;
1;104;0;2397;0;
1;104;0;1491;0;
1;103;0;3727;0;
1;104;0;3761;0;
1;96;0;1839;0;
1;88;0;2789;0;
1;87;0;1956;0;
1;85;0;1657;0;
1;83;0;2102;0;
1;84;0;3979;0;
1;85;0;2844;0;
1;84;0;1261;0;
1;85;0;2041;0;
1;85;0;2204;0;
1;84;0;2713;0;
1;84;0;1954;0;
1;84;0;631;0;
1;85;0;3330;0;
1;86;0;1629;0;
1;86;0;1534;0;
1;87;0;2351;0;
1;87;0;3346;0;
1;85;0;3560;0;
1;85;0;741;0;
1;86;0;1548;0;
1;86;0;2982;0;
1;86;0;3232;0;
1;86;0;1313;0;
1;85;0;1051;0;
1;86;0;1422;0;
1;87;0;2645;0;
1;89;0;1822;0;
1;88;0;2438;0;
1;87;0;928;0;
1;87;0;1705;0;
1;88;0;2290;0;
1;89;0;1369;0;
1;90;0;2613;0;
1;89;0;2586;0;
1;87;0;2995;0;
1;86;0;865;0;
1;84;0;2033;0;
1;86;0;1187;0;
1;88;0;1688;0;
1;86;0;2380;0;
1;86;0;3326;0;
1;87;0;1304;0;
1;88;0;2361;0;
1;89;0;463;0;
1;87;0;878;0;
1;87;0;988;0;
1;86;0;1790;0;
1;87;0;1390;0;
1;87;0;2766;0;
1;85;0;1165;0;
1;84;0;2385;0;
1;85;0;1349;0;
1;85;0;2708;0;
1;85;0;1024;0;
1;88;0;1520;0;
1;87;0;3963;0;
1;87;0;2104;0;
1;87;0;2321;0;
1;88;0;1659;0;
1;86;0;3049;0;
1;85;0;436;0;
1;85;0;2524;0;
1;86;0;2625;0;
1;85;0;768;0;
1;84;0;2812;0;
1;83;0;731;0;
1;85;0;2722;0;
1;85;0;1089;0;
1;84;0;5009;0;
1;82;0;1465;0;
1;82;0;3421;0;
1;82;0;418;0;
1;83;0;1827;0;
1;85;0;3763;0;
1;85;0;1172;0;
1;85;0;752;0;
1;87;0;3135;0;
1;90;0;2179;0;
1;91;0;2248;0;
1;90;0;3251;0;
1;91;0;2220;0;
1;89;0;1539;0;
1;91;0;1646;0;
1;88;0;2888;0;
1;85;0;1872;0;
1;85;0;1664;0;
1;85;0;1134;0;
1;89;0;2468;0;
1;86;0;2924;0;
1;87;0;1548;0;
1;87;0;1435;0;
1;89;0;2826;0;
1;90;0;1059;0;
1;91;0;1540;0;
1;89;0;1382;0;
1;91;0;1508;0;
1;90;0;2383;0;
