Status;Distance Macro;Distance Micro;Magnitude Macro;Magnitude Micro;
2;0;418;0;510;
2;0;419;0;441;
2;0;411;0;606;
2;0;412;0;727;
2;0;409;0;991;
2;0;406;0;608;
2;0;406;0;608;
2;0;404;0;416;
2;0;401;0;528;
2;0;402;0;480;
2;0;402;0;480;
2;0;406;0;676;
2;0;417;0;815;
2;0;420;0;758;
2;0;419;0;452;
2;0;419;0;393;
2;0;419;0;608;
2;0;419;0;608;
2;0;419;0;608;
2;0;418;0;918;
2;0;420;0;846;
2;0;421;0;716;
2;0;419;0;488;
2;0;417;0;318;
2;0;411;0;1287;
2;0;407;0;1582;
2;0;406;0;747;
2;0;406;0;626;
2;0;405;0;1579;
2;0;402;0;1588;
2;0;399;0;401;
2;0;399;0;401;
2;0;400;0;659;
2;0;404;0;1150;
2;0;412;0;1516;
2;0;420;0;1122;
2;0;428;0;1246;
2;0;433;0;1553;
2;0;433;0;1791;
2;0;431;0;1038;
2;0;429;0;844;
2;0;424;0;1322;
2;0;419;0;437;
2;0;419;0;464;
2;0;418;0;661;
2;0;415;0;1235;
2;0;412;0;579;
2;0;412;0;617;
2;0;413;0;954;
2;0;417;0;1198;
2;0;422;0;990;
2;0;425;0;1183;
2;0;423;0;1393;
2;0;427;0;1276;
2;0;427;0;1642;
2;0;424;0;1014;
2;0;419;0;1682;
2;0;413;0;971;
2;0;412;0;1372;
2;0;409;0;992;
2;0;402;0;1632;
2;0;398;0;1582;
2;0;400;0;1196;
2;0;408;0;1873;
2;0;413;0;1509;
2;0;414;0;1220;
2;0;415;0;1375;
2;0;415;0;1392;
2;0;415;0;927;
2;0;416;0;1163;
2;0;413;0;1300;
2;0;407;0;904;
2;0;399;0;1137;
2;0;395;0;964;
2;0;393;0;1359;
2;0;395;0;1856;
2;0;402;0;2829;
2;0;401;0;1850;
2;0;400;0;1160;
2;0;405;0;1995;
2;0;412;0;2679;
2;0;413;0;2250;
2;0;410;0;1399;
2;0;401;0;1977;
2;0;396;0;2187;
2;0;388;0;1139;
2;0;387;0;918;
2;0;387;0;891;
2;0;388;0;2517;
2;0;394;0;2369;
2;0;402;0;1442;
2;0;402;0;2279;
2;0;404;0;4559;
2;0;406;0;5153;
2;0;401;0;4339;
2;0;397;0;3082;
2;0;391;0;2598;
2;0;390;0;2579;
2;0;393;0;2042;
2;0;393;0;1663;
2;0;393;0;1809;
2;0;395;0;1996;
2;0;397;0;1926;
2;0;401;0;2097;
2;0;403;0;1639;
2;0;401;0;2104;
2;0;402;0;2279;
2;0;405;0;2190;
2;0;406;0;2651;
2;0;405;0;2217;
2;0;405;0;1234;
2;0;408;0;1270;
2;0;408;0;2920;
2;0;410;0;2728;
2;0;410;0;1916;
2;0;409;0;962;
1;393;0;256;0;
1;392;0;294;0;
1;392;0;295;0;
1;392;0;134;0;
1;394;0;160;0;
1;394;0;211;0;
1;395;0;237;0;
1;395;0;160;0;
1;395;0;174;0;
1;395;0;174;0;
1;397;0;269;0;
1;401;0;284;0;
1;412;0;231;0;
1;416;0;236;0;
1;425;0;316;0;
1;425;0;316;0;
1;425;0;316;0;
1;425;0;316;0;
1;430;0;266;0;
1;442;0;269;0;
1;442;0;269;0;
1;456;0;138;0;
