Status;Distance Macro;Distance Micro;Magnitude Macro;Magnitude Micro;
2;0;431;0;754;
2;0;433;0;811;
2;0;434;0;801;
2;0;434;0;509;
2;0;434;0;423;
2;0;434;0;423;
2;0;434;0;423;
2;0;434;0;423;
2;0;434;0;423;
2;0;433;0;653;
2;0;435;0;521;
2;0;437;0;638;
2;0;436;0;856;
2;0;432;0;747;
2;0;429;0;597;
2;0;430;0;525;
2;0;430;0;525;
2;0;431;0;361;
2;0;431;0;501;
2;0;430;0;634;
2;0;427;0;851;
2;0;425;0;903;
2;0;422;0;606;
2;0;422;0;390;
2;0;422;0;341;
2;0;421;0;424;
2;0;421;0;424;
2;0;421;0;424;
2;0;419;0;687;
2;0;418;0;981;
2;0;417;0;876;
2;0;417;0;663;
2;0;418;0;733;
2;0;418;0;733;
2;0;419;0;633;
2;0;417;0;651;
2;0;414;0;897;
2;0;413;0;862;
2;0;412;0;730;
2;0;413;0;623;
2;0;414;0;382;
2;0;414;0;382;
2;0;411;0;792;
2;0;411;0;1380;
2;0;414;0;1590;
2;0;417;0;1220;
2;0;419;0;967;
2;0;420;0;1171;
2;0;419;0;1479;
2;0;417;0;992;
2;0;417;0;711;
2;0;416;0;518;
2;0;416;0;518;
2;0;414;0;810;
2;0;413;0;721;
2;0;413;0;582;
2;0;413;0;459;
2;0;414;0;615;
2;0;413;0;1037;
2;0;416;0;1346;
2;0;419;0;1198;
2;0;421;0;820;
2;0;422;0;454;
2;0;422;0;454;
2;0;425;0;910;
2;0;423;0;1390;
2;0;423;0;1588;
2;0;424;0;1519;
2;0;425;0;648;
2;0;425;0;492;
2;0;424;0;483;
2;0;424;0;483;
2;0;424;0;483;
2;0;425;0;531;
2;0;424;0;808;
2;0;425;0;613;
2;0;422;0;495;
2;0;422;0;842;
2;0;419;0;1074;
2;0;417;0;1138;
2;0;418;0;740;
2;0;424;0;651;
2;0;424;0;398;
2;0;424;0;398;
2;0;423;0;683;
2;0;419;0;999;
2;0;419;0;860;
2;0;420;0;782;
2;0;421;0;674;
2;0;425;0;558;
2;0;430;0;820;
2;0;431;0;742;
2;0;431;0;742;
2;0;431;0;742;
2;0;429;0;382;
2;0;429;0;489;
2;0;431;0;696;
2;0;434;0;539;
2;0;434;0;530;
2;0;434;0;601;
2;0;433;0;550;
2;0;433;0;550;
2;0;433;0;550;
2;0;435;0;587;
2;0;435;0;587;
