Status;Distance Macro;Distance Micro;Magnitude Macro;Magnitude Micro;
2;0;400;0;2060;
2;0;396;0;3293;
2;0;418;0;1405;
2;0;412;0;1965;
2;0;408;0;1320;
2;0;408;0;1320;
2;0;404;0;993;
2;0;403;0;1088;
2;0;403;0;1088;
2;0;403;0;1088;
2;0;402;0;2326;
2;0;402;0;4312;
2;0;399;0;3245;
2;0;399;0;3631;
2;0;400;0;3662;
2;0;401;0;3181;
2;0;403;0;1903;
2;0;403;0;2761;
2;0;405;0;5253;
2;0;405;0;3974;
2;0;407;0;1811;
2;0;409;0;2692;
2;0;412;0;1333;
2;0;412;0;1965;
2;0;411;0;3013;
2;0;409;0;3399;
2;0;409;0;1019;
2;0;404;0;2071;
2;0;396;0;3235;
2;0;391;0;1660;
2;0;393;0;1516;
2;0;395;0;940;
2;0;394;0;1778;
2;0;390;0;1054;
2;0;392;0;2904;
2;0;399;0;2459;
2;0;401;0;2011;
1;466;0;179;0;
1;456;0;140;0;
1;456;0;140;0;
1;456;0;140;0;
1;448;0;247;0;
1;448;0;247;0;
1;439;0;152;0;
1;435;0;179;0;
1;432;0;248;0;
1;432;0;248;0;
1;428;0;216;0;
1;428;0;216;0;
1;424;0;154;0;
1;421;0;121;0;
1;421;0;121;0;
2;0;405;0;2548;
1;417;0;225;0;
1;415;0;218;0;
1;411;0;217;0;
1;407;0;254;0;
1;403;0;148;0;
1;401;0;256;0;
1;401;0;256;0;
1;401;0;256;0;
1;400;0;194;0;
1;400;0;223;0;
1;403;0;274;0;
1;404;0;152;0;
1;404;0;150;0;
1;403;0;254;0;
1;403;0;254;0;
1;402;0;139;0;
1;402;0;139;0;
1;406;0;310;0;
1;408;0;307;0;
1;408;0;176;0;
1;408;0;176;0;
1;408;0;176;0;
1;408;0;176;0;
1;407;0;223;0;
1;407;0;223;0;
2;0;416;0;3527;
1;406;0;202;0;
1;408;0;149;0;
1;409;0;174;0;
1;409;0;378;0;
1;409;0;378;0;
1;409;0;161;0;
1;406;0;381;0;
1;404;0;530;0;
1;402;0;620;0;
1;399;0;254;0;
1;400;0;433;0;
1;401;0;475;0;
1;398;0;362;0;
1;398;0;406;0;
1;398;0;220;0;
1;399;0;642;0;
1;400;0;188;0;
1;402;0;231;0;
1;402;0;231;0;
1;402;0;251;0;
1;403;0;293;0;
1;403;0;293;0;
1;403;0;293;0;
1;402;0;396;0;
1;401;0;454;0;
1;400;0;581;0;
1;400;0;285;0;
1;401;0;267;0;
1;404;0;326;0;
1;406;0;409;0;
1;405;0;346;0;
1;403;0;440;0;
1;403;0;440;0;
1;402;0;216;0;
1;401;0;586;0;
1;398;0;340;0;
1;400;0;157;0;
1;400;0;157;0;
1;399;0;269;0;
1;399;0;345;0;
1;399;0;316;0;
1;399;0;316;0;
1;400;0;332;0;
1;394;0;458;0;
1;346;0;418;0;
1;299;0;467;0;
1;241;0;480;0;
1;225;0;313;0;
1;180;0;856;0;
1;104;0;549;0;
1;87;0;458;0;
1;85;0;341;0;
1;84;0;550;0;
1;85;0;367;0;
1;85;0;969;0;
1;83;0;707;0;
1;82;0;1066;0;
1;85;0;793;0;
1;86;0;378;0;
1;87;0;1519;0;
1;86;0;333;0;
1;86;0;536;0;
1;85;0;1039;0;
1;84;0;758;0;
1;84;0;404;0;
1;83;0;1707;0;
1;85;0;820;0;
1;87;0;527;0;
1;87;0;1969;0;
1;88;0;2138;0;
1;87;0;1275;0;
1;89;0;856;0;
1;89;0;1086;0;
1;88;0;1512;0;
